image_id,image_width,image_height,hsv_dominant,hsv_cluster
00003e153.jpg,32,32,[106.96972656 165.38085938  75.08984375],7
0001124c7.jpg,32,32,[ 96.76074219  33.28222656 148.46777344],39
0001b1832.jpg,32,32,[ 92.35449219  61.86035156 148.26171875],39
0002d0f32.jpg,32,32,[103.53222656 144.41015625  59.83984375],0
000303d4d.jpg,32,32,[102.08886719  36.50292969  70.5234375 ],1
00052ed46.jpg,32,32,[ 87.57226562 109.15039062  48.97167969],8
00057a50d.jpg,32,32,[ 98.43554688 150.89648438  73.67675781],44
000592296.jpg,32,32,[103.57617188  47.07324219  62.59960938],1
0007b8229.jpg,32,32,[102.88085938 223.17871094  55.90136719],2
000805313.jpg,32,32,[94.23242188 41.91113281 79.04785156],1
000811bb6.jpg,32,32,[110.50292969 221.5         28.62597656],13
0008d6216.jpg,32,32,[ 98.38867188 208.91308594 103.61816406],25
000913daf.jpg,32,32,[106.91796875 161.27539062  79.35058594],7
000952d51.jpg,32,32,[ 65.90429688  18.26757812 147.71386719],10
000969125.jpg,32,32,[104.12988281 228.13769531  49.6015625 ],2
0009a46e1.jpg,32,32,[97.31835938 16.07226562 92.40917969],30
000a4d4fd.jpg,32,32,[105.078125   183.140625    56.29296875],9
000aed819.jpg,32,32,[107.73242188 230.56542969  42.91113281],41
000baef0c.jpg,32,32,[101.10058594  19.48046875  95.17578125],30
000bd9ac4.jpg,32,32,[102.82910156 242.01464844  43.7578125 ],41
000c150b0.jpg,32,32,[ 96.99316406 237.38671875  60.33105469],17
000c34352.jpg,32,32,[ 47.41992188 115.20019531  85.80566406],49
000d26c17.jpg,32,32,[102.54394531  53.78613281 122.78808594],34
000db3e62.jpg,32,32,[103.23144531  14.859375    92.81445312],30
000e37fc6.jpg,32,32,[ 98.18457031 189.46289062 101.74511719],21
000e64855.jpg,32,32,[ 93.54589844 208.45214844  66.82910156],47
000f1f959.jpg,32,32,[106.86914062  22.23730469 132.36230469],33
000f7e728.jpg,32,32,[ 62.16796875  22.81933594 151.68164062],10
000f7f2fd.jpg,32,32,[ 98.90234375 200.81347656  99.30859375],21
00104f16f.jpg,32,32,[ 88.45703125 174.19628906  62.08007812],38
0010e88ce.jpg,32,32,[108.8359375  165.70703125  47.80273438],23
0010eefb1.jpg,32,32,[109.87890625 239.671875    45.12988281],41
00119e4ba.jpg,32,32,[101.7578125  201.47363281  24.93457031],35
0011a9ccb.jpg,32,32,[ 94.99804688 129.94335938 145.95800781],26
0011c31b7.jpg,32,32,[108.87792969 243.87011719  56.45703125],17
00122061c.jpg,32,32,[ 98.12792969 213.67773438  48.58886719],35
0012669a8.jpg,32,32,[110.02246094 243.328125    53.34765625],41
0012a8fa1.jpg,32,32,[ 84.24707031  74.39355469 111.12207031],27
0012b8981.jpg,32,32,[ 80.77734375  19.66308594 138.4765625 ],3
0012be3bb.jpg,32,32,[ 99.40820312 120.6640625   75.98828125],48
0013b2222.jpg,32,32,[ 95.84570312 156.765625    75.49023438],44
00140e597.jpg,32,32,[ 89.90234375  16.29785156 180.52636719],18
0014b1235.jpg,32,32,[ 98.89941406 182.21875     45.06347656],23
0015a4f8b.jpg,32,32,[102.83496094 243.40625     61.58203125],17
00160335a.jpg,32,32,[ 95.16015625 185.42480469  77.86523438],21
00167446e.jpg,32,32,[106.51171875 138.48242188  64.02441406],0
0016a2ab9.jpg,32,32,[ 99.04199219 242.84375     58.34179688],17
0016ae695.jpg,32,32,[ 99.73144531 207.9765625   89.45703125],21
0016bc1a8.jpg,32,32,[114.7890625   26.30957031 138.84277344],33
0016c1d02.jpg,32,32,[115.13867188 244.22363281  42.33886719],41
001739657.jpg,32,32,[ 98.3828125  154.48730469  68.69042969],38
001768e84.jpg,32,32,[ 94.76269531 192.30273438  45.95019531],9
001883b1b.jpg,32,32,[ 77.95214844 128.68359375  47.703125  ],16
00189cc36.jpg,32,32,[ 29.09863281  60.95507812 113.5234375 ],6
0018f7728.jpg,32,32,[110.8828125  146.67675781  81.97265625],44
0019444bc.jpg,32,32,[108.9765625  170.546875    46.92285156],23
001948368.jpg,32,32,[103.92382812 247.33300781  73.79589844],17
00196e715.jpg,32,32,[112.41992188 235.25        44.44921875],41
0019880c1.jpg,32,32,[106.73339844 107.43066406  91.74902344],4
001a7cba8.jpg,32,32,[104.87304688 141.27636719  51.48144531],22
001ac9fa5.jpg,32,32,[107.5546875  229.30957031  47.42871094],2
001ae1b37.jpg,32,32,[104.66699219 186.59765625  73.84082031],21
